Code_Name,Nominal_Copper_Area_mm2,Equivalent_Al_Area_mm2,Resistance_20C_Ohm_per_km,Current_40C_A,Current_45C_A,Al_Strands,Al_Dia_mm,Steel_Strands,Steel_Dia_mm,Conductor_Dia_mm,Conductor_Area_mm2,Weight_Total_kg_per_km,Weight_Al_kg_per_km,Weight_Steel_kg_per_km,Ultimate_Strength_kg,Linear_Coefficient_x10^-6_per_C,Elastic_Modulus_x10^6_kg_per_cm2

Mole,6.5,10.47,2.71800,NaN,NaN,6,1.50,1,1.50,4.50,12.37,43,29,14,407,18.99,0.809
Squirrel,13,20.71,1.37400,115,107,6,2.11,1,2.11,6.33,24.48,85,58,27,771,18.99,0.809
Gopher,16,25.91,1.09800,113,123,6,2.36,1,2.36,7.08,30.62,106,72,34,952,18.99,0.809
Weasel,20,31.21,0.91160,150,139,6,2.59,1,2.59,7.77,36.88,128,87,41,1136,18.99,0.809
Ferret,25,41.87,0.67950,181,168,6,3.00,1,3.00,9.00,49.48,171,116,55,1503,18.99,0.809
Rabbit,30,52.21,0.54490,208,193,6,3.35,1,3.35,10.05,61.70,214,145,69,1860,18.99,0.809
Mink,40,62.32,0.45630,234,217,6,3.66,1,3.66,10.98,73.65,255,173,82,2207,18.99,0.809
Horse,42,71.58,0.39770,NaN,NaN,6,2.79,1,2.79,13.95,116.20,542,204,338,6108,15.30,1.070
Beaver,45,74.07,0.38410,261,242,12,3.99,7,3.99,11.97,87.53,303,205,98,2613,18.99,0.809
Raccoon,48,77.83,0.36560,270,250,6,4.09,1,4.09,12.27,91.97,318,215,103,2746,18.99,0.809
Otter,50,82.85,0.34340,281,260,6,4.22,1,4.22,12.66,97.91,339,230,109,2923,18.99,0.809
Cat,55,94.21,0.30200,305,283,6,4.50,1,4.50,13.50,111.30,385,261,124,3324,18.99,0.809
Dog,65,103.60,0.27450,324,300,6,4.72,1,1.57,14.16,118.50,394,288,106,3299,19.53,0.735
Leopard,80,129.70,0.21930,375,348,6,5.28,7,1.76,15.84,148.40,493,360,133,4137,19.53,0.735
Coyote,80,128.50,0.22140,375,348,26,2.54,7,1.90,15.86,151.60,521,365,156,4638,18.99,0.773
Tiger,80,128.10,0.22210,382,354,30,2.36,7,2.36,16.52,161.80,604,363,241,5758,17.73,0.787
Wolf,95,154.30,0.18440,430,398,30,2.59,7,2.59,18.13,195.00,727,436,291,6880,17.73,0.787
Lynx,110,179.00,0.15890,475,440,30,2.79,7,2.79,19.53,226.20,844,506,338,7950,17.73,0.787
Panther,130,207.00,0.13750,520,482,30,3.00,7,3.00,21.00,261.60,976,586,390,9127,17.73,0.787
Lion,140,232.50,0.12230,555,515,30,3.18,7,3.18,22.26,293.90,1097,659,438,10210,17.73,0.787
Bear,160,258.10,0.11020,595,552,30,3.35,7,3.35,23.45,326.10,1219,734,485,11310,17.73,0.787
Goat,185,316.50,0.08989,680,630,30,3.71,7,3.71,25.97,400.00,1492,896,596,13780,17.73,0.787
Sheep,225,366.10,0.07771,745,690,30,3.99,7,3.99,27.93,462.60,1726,1036,690,15910,17.73,0.787
Kundah,250,394.40,0.07434,NaN,NaN,42,3.50,7,1.94,26.82,424.80,1282,1120,162,9002,21.42,0.646
Deer,260,419.30,0.06786,806,747,30,4.27,7,4.27,29.89,529.80,1977,1188,789,18230,17.73,0.787
Zebra,260,418.60,0.06800,795,736,54,3.18,7,3.18,28.62,484.50,1623,1185,438,13316,19.35,0.686
Elk,300,465.70,0.06110,860,796,30,4.50,7,4.50,31.50,588.40,2196,1320,876,20240,17.73,0.787
Camel,300,464.50,0.06125,NaN,NaN,54,3.35,7,3.35,30.15,537.70,1804,1318,486,14750,19.35,0.686
Moose,325,515.70,0.05517,900,835,54,3.53,7,3.53,31.77,597.00,2002,1160,589,16250,19.53,0.686
Morkuila,330,549.20,0.05182,NaN,NaN,42,4.13,7,2.30,31.68,591.70,1790,1564,226,12236,21.42,0.646
Sparrow,20,33.16,0.85780,NaN,NaN,6,2.67,1,2.67,8.01,39.22,135,92,43,1208,18.99,0.089
Fox,22,36.21,0.78570,165,135,6,2.79,1,2.79,8.37,42.92,149,101,48,1313,18.99,0.089
Guinea,49,78.56,0.36200,NaN,NaN,12,2.92,7,2.92,14.60,127.20,590,224,366,6664,15.30,1.070
Lark,125,196.10,0.14510,NaN,NaN,30,2.92,7,2.92,20.44,247.80,922,556,366,8659,17.73,0.787
